# Directed graph: patent_2_8.txt 
# Kronecker Graph: seed matrix [0.9999, 0.539387; 0.515146, 0.212056]
# Nodes: 256 Edges: 696
# FromNodeId	ToNodeId
0	0
0	2
0	3
0	14
0	16
0	33
0	42
0	52
0	61
0	64
0	65
0	70
0	80
0	84
0	98
0	99
0	128
0	140
0	142
0	147
0	148
0	152
0	153
0	159
0	192
0	202
0	234
0	253
1	7
1	15
1	16
1	25
1	32
1	56
1	64
1	73
1	80
1	94
1	132
1	137
1	147
1	162
1	215
1	219
2	1
2	6
2	19
2	24
2	36
2	42
2	46
2	52
2	74
2	140
2	153
2	176
2	178
2	186
2	196
3	41
3	80
3	132
4	5
4	41
4	70
4	80
4	90
4	133
4	211
5	6
5	8
5	24
5	36
5	68
5	74
5	130
5	141
5	249
6	5
6	10
6	27
6	40
6	45
6	60
6	91
6	200
6	202
8	34
8	65
8	71
8	75
8	137
8	142
8	179
8	192
8	196
8	226
9	0
9	2
9	33
9	37
9	48
9	53
9	64
9	66
9	86
9	128
10	9
10	81
10	113
10	193
11	0
11	16
11	73
11	84
11	160
11	179
12	0
12	16
12	54
12	64
12	65
12	83
12	90
12	162
12	179
13	34
13	114
13	162
13	178
14	82
14	96
14	122
14	248
15	48
15	81
15	104
15	171
15	208
16	2
16	3
16	18
16	32
16	43
16	52
16	64
16	65
16	69
16	100
16	113
16	140
16	145
16	164
17	2
17	4
17	34
17	68
17	80
17	141
17	144
17	161
17	194
18	4
18	24
18	66
18	80
18	85
18	99
19	8
19	66
20	9
20	15
20	20
20	81
20	96
20	165
20	204
21	48
21	56
21	96
22	0
22	4
22	81
23	144
24	2
24	8
24	20
24	95
24	96
25	0
25	35
25	37
25	50
25	141
25	166
26	1
26	4
26	103
26	116
26	128
26	205
27	18
27	52
28	128
29	46
29	72
29	172
30	109
30	216
32	0
32	5
32	16
32	26
32	69
32	80
32	87
32	94
32	112
32	186
33	2
33	3
33	46
33	72
33	84
33	113
33	136
33	160
33	186
34	0
34	1
34	4
34	11
34	17
34	18
34	19
34	24
34	74
34	77
34	88
34	195
34	196
34	230
35	0
36	19
36	24
36	64
36	84
36	160
36	176
38	5
38	28
38	43
38	50
38	57
38	89
38	137
38	165
38	204
40	3
40	6
40	148
40	149
40	172
40	217
41	244
42	26
42	36
42	38
42	80
42	84
43	16
43	88
44	0
44	2
45	19
45	144
45	176
46	6
46	10
46	34
46	80
48	10
48	24
48	33
48	70
48	116
48	136
49	37
49	72
49	192
50	51
52	131
53	136
53	150
53	168
55	4
56	2
56	224
57	2
57	38
57	52
58	195
58	217
59	212
60	0
60	128
60	192
62	20
62	97
64	1
64	3
64	4
64	18
64	26
64	33
64	40
64	50
64	64
64	69
64	70
64	78
64	88
64	104
64	128
64	132
64	136
64	144
64	165
65	1
65	6
65	14
65	17
65	20
65	76
65	98
65	220
65	244
66	13
66	44
66	72
66	96
66	131
66	144
66	163
66	181
67	81
67	135
68	4
68	25
68	26
68	40
68	49
68	88
68	92
68	129
68	176
68	194
69	35
69	45
69	113
69	148
70	64
70	130
70	148
71	20
71	224
72	14
72	21
72	47
72	49
72	68
72	209
72	216
73	33
73	42
74	34
74	100
74	132
75	85
76	0
76	12
76	22
76	36
76	56
76	127
76	128
76	170
78	0
78	246
79	66
79	161
80	17
80	26
80	33
80	36
80	83
80	245
81	3
81	64
81	69
81	131
81	140
81	144
81	197
81	216
82	65
82	85
82	134
82	201
83	22
83	70
83	73
84	11
84	81
84	108
84	136
85	38
85	52
85	81
85	130
85	162
85	208
86	64
86	107
88	27
89	49
89	162
90	80
93	30
93	36
95	161
95	177
95	192
96	29
96	33
96	86
96	141
96	153
96	169
97	1
97	128
97	140
100	1
100	17
100	81
100	86
102	42
103	252
104	0
104	10
104	32
105	195
106	21
106	194
108	145
109	112
110	0
110	9
110	12
112	15
112	16
112	28
